age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality,fame_score
70,1943, heart and kidney failure,December,2013, actor (Along Came Polly Law & Order The Big Bang Theory),Ronald Hunter,American,4272.0
85,1928,,December,2013, member of the Alaska House of Representatives (1983–1993),Niilo Koponen,American,3395.0
73,1940,,December,2013, journalist and actor (Autumn Marathon),Norbert Kuchinke,German,4521.0
61,1952,,December,2013, Minister of Military Production (2013),Reda Mahmoud Hafez Mohamed,Egyptian,7639.0
92,1921,,December,2013, bronze medalist (1952),McDonald Bailey,British,3514.0
97,1916,,December,2013, comics artist (Korky the Cat Desperate Dan),Charles Grigg,British,6541.0
83,1930,,December,2013, broadcaster (Radio 702) and actor,Paddy O'Byrne,Irish,5866.0
54,1959, plane crash,December,2013, African Olympic slalom canoer (1992),Alexander Rennie,South,2321.0
34,1979,,December,2013, Olympic long jumper (2008),Iryna Charnushenka-Stasiuk,Belarusian,3625.0
99,1914,,December,2013, California (1956–1958),Robert Doerr,American,5738.0
86,1927,,December,2013, Ambassador to South Africa (1978–1981),William B. Edmondson,American,6240.0
95,1918,,December,2013, footballer (The Strongest national team),Ruperto Inchausti,Bolivian,2687.0
75,1938,,December,2013, actor (Doctor Who Wimbledon Midsomer Murders),Barry Jackson,English,4837.0
95,1918, lung infection,December,2013, African anti-apartheid activist and politician President (1994−1999),Nelson Mandela,South,172806.0
84,1929, member of College Football Hall of Fame,December,2013, football player (Virginia Cavaliers),Joe Palumbo,American,2974.0
87,1926,,December,2013, member of the New South Wales Legislative Assembly for Willoughby (1978–1981),Eddie Britt,Australian,3401.0
72,1941,,December,2013, artist and songwriter (Strange Brew),Gail Collins Pappalardi,American,6236.0
71,1942,,December,2013, college basketball coach (Southern Miss),M. K. Turk,American,6001.0
78,1935, stroke,December,2013, actor (Lonesome Cowboys Blue Movie Flesh),Louis Waldon,American,3497.0
82,1931,,December,2013, actress (Ellen Disclosure Dahmer),Kate Williamson,American,3922.0
79,1934,,December,2013, Lord Mayor of London (1990),Sir Hugh Bidwell,British,3426.0
86,1927,,December,2013, film and television director (The Shooting Party),Alan Bridges,English,4217.0
64,1949, traffic collision,December,2013, Soviet Olympic bronze-medalist athlete (1976),Nadezhda Ilyina,Russian,3059.0
95,1918,,December,2013, Olympic silver-medalist cross country skier (1952),Eero Kolehmainen,Finnish,8303.0
51,1962,,December,2013, African WBO flyweight and light flyweight champion boxer (1993 1995),Jacob Matlala,South,4307.0
85,1928,,December,2013, film director and screenwriter (La Cage aux Folles),Édouard Molinaro,French,7872.0
78,1935,,December,2013, Judge of the Supreme Court (1998–2009),Orlando Álvarez,Chilean,3361.0
60,1953,,December,2013, Soviet footballer (Chornomorets),Leonid Baranovskyi,Ukrainian,3235.0
96,1917,,December,2013, laureate of the Nobel Prize (1975),Sir John Cornforth,Australian-British,24260.0
84,1929,,December,2013, historian (Cheyenne Frontier Days),Shirley E. Flynn,American,6584.0
53,1960,,December,2013, Austrian singer (The Rounder Girls),Lynne Kieran,British-born,3161.0
70,1943,,December,2013, actor (Ironside I Dream of Jeannie CHiPs),Don Mitchell,American,3787.0
79,1934,,December,2013, cricketer (South Australia),Donn Robins,Australian,3651.0
78,1935,,December,2013, footballer (Tenerife),Luis Saavedra,Spanish,2522.0
92,1921,,December,2013, composer (Life on Earth),Edward Williams,English,3083.0
89,1924,,December,2013, member of the New South Wales Legislative Assembly for Granville (1962–1984),Pat Flaherty,Australian,3202.0
104,1909,,December,2013, California Appellate Court (1970–1974) and Superior Court (1949–1970),John Gabbert,American,9156.0
98,1915,,December,2013, football player (Tennessee Volunteers),Joe Black Hayes,American,4062.0
91,1922, pneumonia,December,2013, actress (The Sound of Music Detective Story),Eleanor Parker,American,26058.0
63,1950,,December,2013, Chief of General Staff (1992–1993),Avtandil Tskitishvili,Georgian,4458.0
70,1943,,December,2013, football player (Dallas Cowboys Los Angeles Rams Washington Redskins),John Wilbur,American,8580.0
76,1937,,December,2013, Australian television director and producer (The Young Doctors Neighbours),Alan Coleman,English-born,4864.0
66,1947,,December,2013, football player (Washington Redskins New Orleans Saints),John Didion,American,4712.0
82,1931,,December,2013, member of the Australian House of Representatives for Forrest (1972–1987),Peter Drummond,Australian,3333.0
90,1923,,December,2013, baseball player (Detroit Tigers),Don Lund,American,7702.0
79,1934,,December,2013, actress (Helen of Troy),Rossana Podestà,Italian,5926.0
60,1953, heart attack,December,2013, politician leader of Mysore Kingdom and Wadiyar dynasty (since 1974),Srikanta Wadiyar,Indian,12513.0
65,1948, plane crash,December,2013, health official director of the Hawaii Department of Health (since 2011) Mayor of Kalawao County (since 2011),Loretta Fuddy,American,6100.0
90,1923,,December,2013, Deputy Commissioner of Police of the Metropolis (1977–1983),Patrick Kavanagh,British,4101.0
56,1957,,December,2013, professional wrestler and actor (Wrong Turn The Love Guru Narc),Garry Robbins,Canadian,5353.0
64,1949,,December,2013, baseball player (Boston Red Sox),Jim Burton,American,4332.0
90,1923,,December,2013, MP for Gateshead East (1964–1987),Bernard Conlan,British,3487.0
67,1946, executed,December,2013, Korean politician Vice-Chairman of the National Defence Commission (2010–2013),Jang Sung-taek,North,42080.0
73,1940,,December,2013, footballer (Millwall),David Jones,English,5101.0
82,1931, complications from pneumonia,December,2013, actor (Billy Jack),Tom Laughlin,American,38129.0
87,1926, pneumonia,December,2013, television quiz show host (It's Academic),Mac McGarry,American,5792.0
45,1968, heart failure,December,2013, IBO cruiserweight champion boxer (2001–2002),Ezra Sellers,American,7355.0
95,1918, stroke,December,2013, actress (The Postman Always Rings Twice; Medical Center),Audrey Totter,American,11434.0
72,1941,,December,2013, President of the Massachusetts Institute of Technology (1990–2004),Charles M. Vest,American,9356.0
70,1943,,December,2013, footballer (Africa Sports national team),Séry Wawa,Ivorian,2466.0
49,1964, complications of diabetes,December,2013, actor (Lizzie McGuire Dharma & Greg Blow),Daniel Escobar,American,3296.0
91,1922,,December,2013, AAGPBL baseball player (Fort Wayne Daisies),Vivian Kellogg,American,7945.0
60,1953, melanoma,December,2013, sound editor (The Truman Show Babe Knowing),Andrew Plain,Australian,3256.0
93,1920,,December,2013, football player (Chicago Bears Boston Yanks),Frank Maznicki,American,3230.0
81,1932,,December,2013, actor (Lawrence of Arabia The Lion in Winter Troy),Peter O'Toole,British-Irish,48021.0
62,1951,,December,2013, football player (Baltimore Colts Green Bay Packers),Bill Troup,American,5058.0
92,1921, complications from a fall,December,2013, evangelist (Family Radio) and doomsday predictor,Harold Camping,American,30858.0
96,1917, natural causes,December,2013, Oscar-winning actress (Rebecca Suspicion Ivanhoe),Joan Fontaine,British-American,34128.0
46,1967, pneumonia,December,2013, basketball player (Indiana Pacers),Dyron Nix,American,5229.0
86,1927,,December,2013, Minister of Mines (2004–2009),Sis Ram Ola,Indian,9422.0
88,1925,,December,2013, Soviet Olympic sprint canoer (1956),Yevgeny Yatsinenko,Russian,2760.0
94,1919,,December,2013, President of Middlebury College (1963–1975),James Isbell Armstrong,American,4634.0
87,1926, pancreatic cancer,December,2013," singer (""Heartaches by the Number"" ""For the Good Times"")",Ray Price,American,19060.0
89,1924,,December,2013, cricket player (Maharashtra),Madhusudan Rege,Indian,3474.0
85,1928, heart failure,December,2013, virologist (chickenpox vaccine),Michiaki Takahashi,Japanese,3594.0
91,1922, heart failure,December,2013, titular Maharaja of Travancore (since 1991),Uthradom Thirunal Marthanda Varma,Indian,16565.0
69,1944,,December,2013, MP for Bebington and Ellesmere Port (1974–1979),Alfred Bates,British,3135.0
37,1976, cancer,December,2013, record producer (Bingo Players),Paul Bäumer,Dutch,11931.0
87,1926,,December,2013, Bishop of Liepāja (1995–2001),Ārvaldis Andrejs Brumanis,Latvian,2192.0
87,1926,,December,2013, Archbishop of Barcelona (1990–2004),Ricardo María Carles Gordó,Spanish,4156.0
88,1925, cerebral hemorrhage,December,2013, historian and television host (The Open Mind),Richard Heffner,American,4528.0
63,1950, esophageal cancer,December,2013, musician composer (Tsuribaka Nisshi) and producer (Yukiko Okada),Tetsurō Kashibuchi,Japanese,4389.0
80,1933, cancer,December,2013, politician member of the Legislative Assembly of Ontario for Lincoln (1995–1999),Frank Sheehan,Canadian,5498.0
84,1929,,December,2013, criminal (Great Train Robbery) and fugitive,Ronnie Biggs,English,31214.0
88,1925,,December,2013, Olympic basketball player (1948),Harry Boland,Irish,2800.0
84,1929,,December,2013, Head of the Secret Intelligence Service (1985–1989),Sir Christopher Curwen,British,3788.0
84,1929, Alzheimer's disease,December,2013, footballer (Esteghlal F.C. national team),Boyuk Jeddikar,Iranian,5496.0
64,1949,,December,2013, African businessman (SABMiller),Graham Mackay,South,5027.0
72,1941, respiratory disease,December,2013, television producer (TVR) director and filmmaker,Titus Munteanu,Romanian,3820.0
76,1937,,December,2013, film producer (Star Trek: First Contact Along Came a Spider),Marty Hornstein,American,5681.0
82,1931,,December,2013, member of the Victorian Legislative Council (1976–1982),Ralph Howard,Australian,3414.0
53,1960,,December,2013, footballer (Lech Poznan),Krzysztof Marcinkowski,Polish,2523.0
32,1981, suicide by jumping,December,2013, novelist (It's Kind of a Funny Story),Ned Vizzini,American,10426.0
83,1930,,December,2013, Olympic champion athlete (1960),Pyotr Bolotnikov,Soviet,7167.0
83,1930,,December,2013, Ambassador to the United States (1986–1990),Yuri Dubinin,Russian,3943.0
40,1973, heart attack,December,2013, rapper (Three 6 Mafia),Lord Infamous,American,9156.0
44,1969, stomach cancer,December,2013, volleyball player (national team),Masafumi Ōura,Japanese,3731.0
57,1956,,December,2013, record producer (Queen Iggy Pop),David Richards,British,7195.0
97,1916,,December,2013, jazz double-bassist (Glenn Miller band),Trigger Alpert,American,8116.0
91,1922,,December,2013, Ambassador to Belgium (1969–1971),John Eisenhower,American,21252.0
82,1931,,December,2013, recipient of the Medal of Honor (1952),Rodolfo P. Hernandez,American,9478.0
24,1989, euthanized,December,2013, racehorse winner of Prix d'Amérique (1995),Ina Scot,Swedish,12275.0
56,1957, convicted of conspiracy to murder and firearms possession,December,2013, republican and IRA member,Bernard Henry McGinn,Irish,11576.0
42,1971, multiple myeloma,December,2013, football player and actor (Bringing Down the House Mr. 3000),Bronzell Miller,American,7942.0
68,1945,,December,2013, Senator (2004–2011),Lentxu Rubial,Spanish,2640.0
92,1921,,December,2013, businessman (CJON-DT CHOZ-FM) and publisher (Newfoundland Herald),Geoff Stirling,Canadian,6246.0
75,1938,,December,2013, member of the Legislative Assembly of Alberta for Clover Bar-Fort Saskatchewan (1993–1997),Muriel Abdurahman,Canadian,4455.0
92,1921,,December,2013, journalist and newspaper editor (The Statesman),Pran Chopra,Indian,4017.0
91,1922,,December,2013, hurler (Kilkenny),Shem Downey,Irish,5777.0
67,1946, prostate cancer,December,2013, baseball player (Chicago White Sox),Ed Herrmann,American,9858.0
68,1945, multiple system atrophy,December,2013, politician Defence Minister (1993–2000) MP (1979–2001),Hans Hækkerup,Danish,5754.0
70,1943, stroke,December,2013, radio presenter (3AW),Keith McGowan,Australian,7603.0
38,1975,,December,2013, Olympic wrestler (1996 2000 2004),Lázaro Rivas,Cuban,3520.0
59,1954,,December,2013, Mayor of Camuy (1989–2002),William Rosales,Puerto,2986.0
84,1929,,December,2013, baseball player (Chicago Cubs),Bill Tremel,American,4801.0
76,1937,,December,2013, television editor (Home Improvement All in the Family Who's the Boss?),Marco Zappia,American,2873.0
86,1927,,December,2013, radio broadcaster (WINS),Stan Brooks,American,3506.0
94,1919,,December,2013, weapons designer (AK-47 AK-74),Mikhail Kalashnikov,Russian,26939.0
93,1920,,December,2013, Grammy Award-winning saxophonist (Yusef Lateef's Little Symphony),Yusef Lateef,American,17713.0
59,1954, brain aneurysm,December,2013, drummer (Michael Jackson Phil Collins),Ricky Lawson,American,7444.0
81,1932,,December,2013, comics artist (Hombre Tex Willer),José Ortiz,Spanish,9104.0
68,1945,,December,2013, actor (Law & Order),Chuck Patterson,American,3252.0
85,1928,,December,2013, Olympic fencer (1952 1956),Raymond Paul,British,2884.0
54,1959, natural causes,December,2013, director and producer (Booty Call The Fresh Prince of Bel-Air),Jeff Pollack,American,6011.0
103,1910,,December,2013, film producer (Papillon),Ted Richmond,American,3550.0
88,1925,,December,2013, Bishop of Osasco (1989–2002),Francisco Manuel Vieira,Brazilian,3175.0
83,1930,,December,2013, private detective and police officer (Arkansas Project),Rex Armistead,American,15394.0
89,1924, cancer,December,2013, animator (Crac The Man Who Planted Trees),Frédéric Back,Canadian,6935.0
86,1927,,December,2013, Permanent Representative to the European Economic Community (1979–1985),Sir Michael Butler,British,4971.0
52,1961, hepatic cancer,December,2013, pop musician and singer (Siniestro Total Golpes Bajos),Germán Coppini,Spanish,3665.0
80,1933,,December,2013, Bishop of Tonga (1994–2008),Soane Lilo Foliaki,Tongan,2621.0
70,1943,,December,2013, cricket player (Northants),Stuart Jakeman,English,2421.0
67,1946, prostate cancer,December,2013, film producer (Tracey Takes On...),Allan McKeown,British,8768.0
76,1937, lung cancer,December,2013, football chairman (Crystal Palace),Ron Noades,British,12042.0
46,1967,,December,2013, football player (national team) and manager,Serghei Stroenco,Moldovan,5636.0
68,1945,,December,2013, jazz trumpeter (UMO Jazz Orchestra),Kaj Backlund,Finnish,4726.0
51,1962, heart attack,December,2013, industrial engineer Senator (1994–2008),Luis Humberto Gómez Gallo,Colombian,5655.0
71,1942, heart failure,December,2013, baseball player (Milwaukee Brewers New York Yankees) and announcer (Cleveland Indians),Mike Hegan,American,6397.0
80,1933,,December,2013, footballer (West Ham United),Andy Malcolm,English,6245.0
80,1933, heart attack,December,2013, politician Mayor of Quezon City (1992–2001),Mel Mathay,Filipino,5597.0
85,1928,,December,2013, recipient of the Demidov Prize in Medicine (2002),Viktor Savelyev,Russian,4442.0
92,1921,,December,2013, Olympic champion shot putter (1948),Wilbur Thompson,American,6219.0
69,1944,,December,2013, baseball player (Baltimore Orioles New York Yankees),Paul Blair,American,18402.0
87,1926,,December,2013, Espiscopal Bishop of Utah (1971–1993),E. Otis Charles,American,5003.0
93,1920,,December,2013, animator (Animal Farm Heavy Metal),Harold Whitaker,British,2831.0
72,1941,,December,2013, chair of the American Indian Movement (1973),Carter Camp,American,7132.0
62,1951, car bomb,December,2013, politician Minister of Finance (2008–2009) Ambassador to the United States (1997–2000),Mohamad Chatah,Lebanese,6956.0
55,1958,,December,2013, Interior Minister (2008 2011 2013),Patrick Crowby,Ni-Vanuatu,5846.0
83,1930, England (1984–1996)[421],December,2013, Anglican bishop Bishop of Woolwich in the Diocese of Southwark,Peter Hall (bishop),British,4238.0
73,1940,,December,2013, Defence Services Secretary (1994–1998),Peter John Harding,British,3693.0
96,1917,,December,2013, MP for Leeds (1961–1968),John Matheson,Canadian,9795.0
61,1952, cancer,December,2013, politician. MP for Telemark (1997–2013),Gunn Olsen,Norwegian,8905.0
90,1923,,December,2013, Somerton and Frome (1983–1992),Robert Boscawen,British,8940.0
90,1923,,December,2013, Somerton and Frome (1983–1992),Robert Boscawen,British,8940.0
89,1924, natural causes,December,2013, actor (The Magnificent Seven The Scorpion King Alias),Joseph Ruskin,American,4368.0
87,1926,,December,2013, minister without portfolio (1984–1988),Yosef Shapira,Israeli,2589.0
44,1969, heart disease,December,2013, Russian footballer Footballer of the Year in Russia (1995),Ilya Tsymbalar,Ukrainian-born,8182.0
35,1978, lymphoma,December,2013, rock musician (Tripping Daisy Secret Machines School of Seven Bells),Benjamin Curtis,American,6076.0
77,1936,,December,2013, basketball player (Philadelphia 76ers Cincinnati Royals),Connie Dierking,American,8132.0
81,1932, brain tumor,December,2013, composer (Bram Stoker's Dracula The Pianist),Wojciech Kilar,Polish,23714.0
27,1986, traffic collision,December,2013, Olympic wrestler (2008 2012),Besik Kudukhov,Russian,5753.0
79,1934,,December,2013, football player (Athletic Bilbao) and coach (Racing de Santander),José María Maguregui,Spanish,17267.0
76,1937,,December,2013, Olympic champion (1960 1964) cross-country skier,Eero Mäntyranta,Finnish,15455.0
77,1936,,December,2013, author and sports journalist (Derby Telegraph),Gerald Mortimer,British,2562.0
65,1948, choking,December,2013, musician (Happy End),Eiichi Ohtaki,Japanese,8123.0
70,1943, pulmonary fibrosis,December,2013, economist and politician Minister of Energy (2001–2003 2004) Minister of Economy (2003–2004),Jaime Quijandría Salmón,Peruvian,3596.0
85,1928,,December,2013, Supreme Court Justice (1964–1977),Jan Steyn,South,14979.0
83,1930,,December,2013, broadcaster (Songs of Praise Top of the Form Winner Takes All),Geoffrey Wheeler,British,4421.0
87,1926,,December,2013, baseball player (Nishitetsu Lions),Larry Yaji,American,2453.0
68,1945, complications from surgery,December,2013, actor (The Fresh Prince of Bel Air Teenage Mutant Ninja Turtles The Closer),James Avery,American,15415.0
60,1953,,December,2013, bluesman and composer (Marrakech Express),Roberto Ciotti,Italian,4462.0
74,1939, leukaemia,December,2013, comedian (Bremner Bird and Fortune) and actor (Match Point),John Fortune,British,7765.0
77,1936,,December,2013, Bishop of Vila Real (1991–2011),Joaquim Gonçalves,Portuguese,2327.0
53,1960, strangulation,December,2013, dissident Director-General (External Intelligence) of the Defence Force (1994–2004),Patrick Karegeya,Rwandan,5459.0
78,1935,,December,2013, Mayor of Idstein (1978–2002),Hermann Müller,German,5146.0
86,1927,,December,2013, basketball player and coach (University of Michigan Iowa State University),Johnny Orr,American,15403.0
92,1922,,January,2014, brewer (Ringwood Brewery),Peter Austin,British,4435.0
56,1958, injuries sustained in an explosion,January,2014, diplomat Ambassador to the Czech Republic (since 2013),Jamal al-Jamal,Palestinian,5453.0
62,1952,,January,2014, actor (Doctor Who),Billy McColl,Scottish,3868.0
63,1951,,January,2014, Minister of Finance (since 2012),William Mgimwa,Tanzanian,7451.0
99,1915,,January,2014, actress (Imitation of Life Disney's The Kid),Juanita Moore,American,6353.0
65,1949,,January,2014, ice hockey player (Winnipeg Jets),Cal Swenson,Canadian,2714.0
63,1951,,January,2014, Minister of Education (1982–1997),Louis George,Saint,2923.0
89,1925,,January,2014, film producer (Return of the Fly The Day of the Triffids),Bernard Glasser,American,4943.0
60,1954,,January,2014, composer and musician (Stern-Combo Meißen Karat),Thomas Kurzhals,German,4260.0
71,1943,,January,2014, High Commissioner to Ghana (1996–2000),Ian Mackley,British,2901.0
79,1935,,January,2014, New Jersey (1982–1984),Michael J. Matthews,American,10167.0
80,1934,,January,2014, football player (Calgary Stampeders),Hal Newton,Canadian,3446.0
70,1944, liver cancer,January,2014, singer (Jay and the Americans),Jay Traynor,American,5444.0
50,1964,,January,2014, baseball player (Oakland Athletics),Larry Arndt,American,4020.0
73,1941,,January,2014, member of the National Assembly (1996–2012),Sylvia Bassot,French,3952.0
74,1940, chronic obstructive pulmonary disease,January,2014, singer and musician (The Everly Brothers),Phil Everly,American,41553.0
80,1934,,January,2014, MP for Romford (1974–1997),Sir Michael Neubert,British,4135.0
98,1916,,January,2014, actress (Gone with the Wind) and portrait painter,Alicia Rhett,American,8127.0
81,1933, traffic collision,January,2014, politician Nebraska State Senator (1989–2003),Jennie Robak,American,3274.0
81,1933, heart failure,January,2014, politician Washington State Senator (1978–1994),Larry Vognild,American,2952.0
92,1922, Alzheimer's disease,January,2014, film producer (One Flew over the Cuckoo's Nest The English Patient Amadeus),Saul Zaentz,American,23437.0
92,1922,,January,2014, member of the Texas House of Representatives (1949–1953),Bill Abington,American,2602.0
92,1922,,January,2014, Senator (1971–1974),Irving Fishman,American,3102.0
83,1931,,January,2014, baseball player (Chicago Cubs),Gabe Gabler,American,3987.0
65,1949,,January,2014, Olympic long distance runner (1972),Andy Holden,English,9381.0
89,1925, complications from brain bleeding and surgery,January,2014, baseball player manager and broadcaster (Yankees Padres) and Marine aviator,Jerry Coleman,American,29087.0
93,1921,,January,2014, Minister for Veterans' Affairs (1983–1987),Arthur Gietzelt,Australian,5581.0
82,1932,,January,2014, Chief of the Defence Staff (1983–1988),Govert Huijser,Dutch,3184.0
85,1929,,January,2014, journalist (Se og Hør),Mogens E. Pedersen,Danish,3530.0
79,1935, diabetes,January,2014, actor (The Wire Super 8 The Next Three Days),Tom Quinn,American,2685.0
93,1921,,January,2014, Speaker (1979),Rod Searle,American,11621.0
86,1928,,January,2014, actress (Sister Act Santa Barbara),Carmen Zapata,American,5625.0
79,1935,,January,2014, footballer (Blackburn Rovers),Jim Appleby,English,4000.0
87,1927,,January,2014, Texas (1982–1991),Bob Bolen,American,6643.0
72,1942,,January,2014, football player (Los Angeles Rams Philadelphia Eagles),Don Chuy,American,3787.0
86,1928, infection,January,2014, criminal (Genovese crime family),Frank Illiano,American,10949.0
91,1923,,January,2014, American actor (Gunsmoke Hill Street Blues Rudolph the Red-Nosed Reindeer),Larry D. Mann,Canadian-born,9859.0
86,1928,,January,2014, Uganda (1972–1973) and the Holy See (1989–1993),Thomas Patrick Melady,American,5658.0
90,1924,,January,2014, Member of the European Parliament (1979–1999),James Moorhouse,British,3737.0
86,1928, Alzheimer's disease,January,2014, police chief Commissioner of the Baltimore Police Department (1984–1987),Bishop Robinson,American,6363.0
62,1952, cancer,January,2014, journalist (TV4Nyheterna),Lena Smedsaas,Swedish,3924.0
29,1985, shot,January,2014, actress and beauty pageant winner (Miss Venezuela 2004),Mónica Spear,Venezuelan,14523.0
78,1936,,January,2014, ice hockey player (Chicago Black Hawks Boston Bruins),Don Ward,Canadian,2619.0
35,1979,,January,2014, football player (Tennessee Titans),Todd Williams,American,5728.0
79,1935,,January,2014, Minnesota State Senator (1970–1980),Jerald C. Anderson,American,2447.0
90,1924,,January,2014, footballer (Ascoli),Giuseppe Frascarelli,Italian,2601.0
60,1954, brain haemorrhage,January,2014, politician MP for Wythenshawe and Sale East (since 1997),Paul Goggins,British,8804.0
93,1921, pulmonary fibrosis,January,2014, businessman CEO of Northrop Corporation (1960–1989),Thomas V. Jones,American,5514.0
73,1941,,January,2014, Olympic skier (1964),Willy Köstinger,Austrian,2781.0
51,1963,,January,2014, footballer (Thai Port),Vilard Normcharoen,Thai,3305.0
98,1916,,January,2014, football player and administrator (Hawthorn),Phil Ryan,Australian,3957.0
106,1908,,January,2014, Kong media mogul (Shaw Brothers Studio) and philanthropist,Sir Run Run Shaw,Hong,24566.0
87,1927,,January,2014, footballer (Birmingham City),Roy Warhurst,English,5410.0
85,1929, delegate to the U,January,2014, USMC general and politician,Vicente T. Blaz,American,12062.0
90,1924,,January,2014, footballer (BSC Young Boys),Charles Casali,Swiss,2798.0
88,1926,,January,2014, Olympic swimmer (1948 1952),Irma Heijting-Schuhmacher,Dutch,4390.0
88,1926,,January,2014, Ambassador to Canada (1989–1992),Edward N. Ney,American,5689.0
74,1940, multiple organ failure,January,2014, politician member of the House of Representatives (1998–2007),Antonino P. Roman,Filipino,4175.0
79,1935,,January,2014, Poet Laureate of New Jersey (2002–2003),Amiri Baraka,American,47779.0
98,1916,,January,2014, actor (Synecdoche New York Alan Wake),Cliff Carpenter,American,4811.0
79,1935,,January,2014, sports columnist (Philadelphia Daily News),Bill Conlin,American,10152.0
72,1942,,January,2014, footballer (Portsmouth),Albert McCann,English,3137.0
74,1940,,January,2014, laureate of the Nobel Prize in Economic Sciences (2010),Dale T. Mortensen,American,10640.0
17,1997, progeria,January,2014, high school student progeria sufferer and documentary subject (Life According to Sam),Sam Berns,American,6913.0
92,1922,,January,2014, Attorney General (1977–1981),Anthony J. Hederman,Irish,4190.0
76,1938,,January,2014, member of the House of Representatives (1982–1994),Frouwke Laning-Boersema,Dutch,3589.0
84,1930,,January,2014, Prime Minister of the People's Republic of Poland (1985–1988),Zbigniew Messner,Polish,5578.0
91,1923,,January,2014, Bishop of Lipari (1963–1970) and Noto (1970–1998),Salvatore Nicolosi,Italian,3174.0
74,1940, Alzheimer's disease,January,2014, journalist de facto White House Press Secretary (1981–1987),Larry Speakes,American,10507.0
91,1923,,January,2014, Governor of Aceh (1981–1986),Hadi Thayeb,Indonesian,3578.0
90,1924,,January,2014, Bishop of Los Angeles (1980–1992),Jack Tuell,American,3560.0
80,1934, esophageal cancer,January,2014, actress (Stray Dog The Bridges at Toko-Ri),Keiko Awaji,Japanese,4445.0
68,1946,,January,2014, Oblivion),Jophery Brown,American,5297.0
85,1929,,January,2014, Chief Advisor (1996),Muhammad Habibur Rahman,Bangladeshi,6598.0
67,1947,,January,2014, ice hockey player (Boston Bruins),Joe Junkin,Canadian,2741.0
56,1958,,January,2014, Soviet Olympic swimmer (1976),Volodymyr Raskatov,Ukrainian,4674.0
85,1929, heart failure,January,2014, politician and general Minister of Defense (1981–1983) Prime Minister (2001–2006),Ariel Sharon,Israeli,83915.0
80,1934,,January,2014, Bishop of Agats (1969–2001),Alphonsus Augustus Sowada,American,2447.0
85,1929,,January,2014, actor (Doctor Who Space Precinct),Jerome Willis,British,3814.0
67,1947, breast cancer,January,2014, actress (Batman Begins The Champions) and animal welfare advocate,Alexandra Bastedo,British,11385.0
89,1925,,January,2014, Lieutenant Governor of Michigan (1991–1999),Connie Binsfeld,American,13267.0
97,1917,,January,2014, Olympic fencer (1936) and archaeologist,Halet Çambel,Turkish,7685.0
91,1923,,January,2014, Louisiana (1989–2005),George Dement,American,19020.0
77,1937,,January,2014, Bishop of Nevers (1998–2011),François Joseph Pierre Deniau,French,2755.0
93,1921,,January,2014, actor (The Fall and Rise of Reginald Perrin The Box of Delights You Rang M'Lord?),John Horsley,British,7613.0
87,1927,,January,2014, member of the Louisiana House of Representatives (1968–1972),E. Holman Jones,American,7566.0
91,1923, heart failure and Alzheimer's disease,January,2014, actor (The Honeymooners Hogan's Heroes),Frank Marth,American,4506.0
85,1929,,January,2014, President of the NAAG (1974–1975),Robert H. Quinn,American,5552.0
92,1922,,January,2014, Chairman of British Steel (1986–1992),Sir Robert Scholey,British,2742.0
84,1930,,January,2014, Minister of Foreign and European Affairs (1992–1993),Zdenko Škrabalo,Serbian-born,5716.0
83,1931, member of the U,January,2014, politician,Michael L. Strang,American,5242.0
88,1926,,January,2014, member of the House of Representatives (1969–1972 1980–1996),Tsunetoshi Tanaka,Japanese,2113.0
75,1939,,January,2014, Olympic champion boxer (1960),Gyula Török,Hungarian,4426.0
92,1922,,January,2014, soldier and Olympic skier (1948),Ulysse Bozonnet,French,3885.0
76,1938, respiratory failure,January,2014, federal judge U.S. District Court Justice (1978–1983) Michigan Supreme Court Justice (1983–1998),Patricia Boyle,American,9824.0
86,1928,,January,2014, actress (Lava Kusa Suvarna Sundari) and film producer,Anjali Devi,Indian,14394.0
83,1931,,January,2014, actor (Codine),Mihai Fotino,Romanian,3024.0
59,1955, cancer,January,2014, Sudanese general and politician Governor of Upper Nile (2008–2009),Gatluak Deng Garang,South,2380.0
89,1925,,January,2014, member of the Senate (1966–1967 1969–1987),Kees IJmkers,Dutch,3805.0
92,1922,,January,2014, Olympic basketball player (1948),Bennie Lands,Canadian,2593.0
72,1942,,January,2014, defensive coordinator of the Iowa Hawkeyes (1999–2011),Norm Parker,American,3841.0
35,1979,,January,2014, Texas (2000–2001),Randal Tye Thomas,American,14368.0
79,1935,,January,2014, footballer (Spora Luxembourg),Fernand Brosius,Luxembourgian,2891.0
66,1948,,January,2014, Ambassador to Iran (1999–2002) and Denmark (2003–2006),Sir Nicholas Browne,British,7377.0
83,1931, myelodysplastic syndrome,January,2014, poet winner of the Miguel de Cervantes Prize (2007),Juan Gelman,Argentine,14015.0
84,1930,,January,2014, Olympic champion ice hockey player (1952),Eric Paterson,Canadian,2957.0
86,1928,,January,2014, baseball player (Springfield Sallies),Esther Ann Reeser,American,3113.0
86,1928, kidney failure,January,2014, film producer (Breakfast at Tiffany's),Richard Shepherd,American,4764.0
103,1911,,January,2014, Bishop of Campeche (1967–1982),José de Jesús García Ayala,Mexican,3254.0
80,1934,,January,2014, Attorney General (1969–1973),Karl Hudson-Phillips,Trinidadian,6678.0
